title,description,created_at,deadline,category,priority
Schedule morning jogs,Pick days and track runs with smart watch.,2025-07-01,2025-07-31,health,low
Complete module on cloud computing,Finish AWS basics chapter and quiz.,2025-07-04,2025-07-10,tech,high
Prepare slides for weekly team sync,Use bullet points and limit to 10 slides.,2025-07-03,2025-07-06,work,high
Organize photo albums on phone,Sort by date and delete duplicates.,2025-07-02,2025-07-13,personal,low
Fix bugs in weather app UI,Resolve alignment and responsiveness issues.,2025-07-03,2025-07-08,project,high
Visit grandma on weekend,Bring groceries and help sort medications.,2025-07-04,2025-07-06,personal,medium
Create grocery list for week,Add items for three meals per day.,2025-07-01,2025-07-02,home,low
Practice HTML and CSS daily,Spend one hour revising concepts and code samples.,2025-07-01,2025-07-31,education,medium
Write blog post on freelancing tips,Share experiences and productivity hacks.,2025-07-02,2025-07-12,hobby,medium
Book physiotherapy session,Check appointment availability online and confirm slot.,2025-07-03,2025-07-15,health,medium
Clean old files from downloads folder,Sort and archive important documents only.,2025-07-01,2025-07-03,tech,low
Volunteer at animal shelter,Confirm shift timings for Sunday afternoon.,2025-07-01,2025-07-06,community,medium
Create profile on GitHub,Upload sample projects and write descriptions.,2025-07-04,2025-07-10,career,medium
Buy shoes for trek,Choose waterproof and ankle-length hiking option.,2025-07-02,2025-07-11,travel,medium
Prepare project report introduction,"Include project scope, goals and objectives.",2025-07-04,2025-07-09,education,high
Renew antivirus subscription,Use email link or official website.,2025-07-03,2025-07-07,tech,high
Call plumber to fix drain blockage,Schedule visit for weekend morning.,2025-07-02,2025-07-06,home,medium
Donate old books and clothes,Pack and schedule pickup via NGO site.,2025-07-01,2025-07-10,community,low
Research SIP investment options,Compare mutual funds online for low-risk plans.,2025-07-02,2025-07-15,finance,medium
Submit abstract for AI workshop,Write and send summary of research idea.,2025-07-04,2025-07-12,education,high
Defrost and clean freezer,Turn off freezer and remove ice and old food.,2025-07-03,2025-07-07,home,low
Review credit card statement,Check recent transactions for any discrepancies.,2025-07-04,2025-07-08,finance,high
Attend CPR training workshop,Join community center event for first aid skills.,2025-07-03,2025-07-06,health,medium
Finalize team branding colors,Pick color palette for project design system.,2025-07-01,2025-07-05,project,medium
Write pitch for startup idea,"Outline concept, audience, and monetization model.",2025-07-02,2025-07-09,career,high
Research next career move,"Explore industry changes, job roles, and skill trends.",2025-07-03,2025-07-20,career,medium
Compile user feedback from beta app,Summarize user suggestions and reported issues.,2025-07-04,2025-07-10,project,high
Get haircut before trip,Book appointment at usual barber.,2025-07-01,2025-07-05,personal,low
Change Wi-Fi password,Update router with new secure credentials.,2025-07-03,2025-07-06,tech,medium
Read article on blockchain technology,Review basics and use cases in supply chain.,2025-07-04,2025-07-11,education,low
Fix study table drawer jam,Oil hinges and align drawer runners.,2025-07-03,2025-07-08,home,low
Sort and donate unused electronics,Find working items to give to local NGO.,2025-07-02,2025-07-14,community,medium
Clean windows and glass panes,Wipe down with soap and vinegar solution.,2025-07-04,2025-07-09,home,low
Upgrade laptop RAM to 16GB,Buy compatible RAM and install safely.,2025-07-02,2025-07-11,tech,high
Call insurance helpline for policy renewal,Clarify new premium and renewal status.,2025-07-03,2025-07-10,finance,medium
Return library books before due date,Avoid late fees by visiting branch.,2025-07-01,2025-07-04,personal,medium
Scan old certificates and upload,Digitize education documents for backup.,2025-07-03,2025-07-07,career,high
Join local photography meetup,RSVP and prepare camera gear.,2025-07-04,2025-07-15,hobby,medium
Check train schedule for weekend trip,Look up timings and platform details.,2025-07-03,2025-07-07,travel,low
Send update to volunteer mailing list,Share schedules and goals for the month.,2025-07-01,2025-07-05,community,medium
Post resume on job portal,Upload updated CV with photo and keywords.,2025-07-01,2025-07-06,career,high
Reinstall antivirus on desktop,Remove old version and install new build.,2025-07-03,2025-07-08,tech,high
Take backup of old smartphone photos,Use cloud to archive all image files.,2025-07-02,2025-07-06,personal,medium
Start gratitude journaling,Buy or make notebook and write daily.,2025-07-01,2025-07-31,personal,low
Revise data structures concepts,"Practice trees, graphs, and hashing problems.",2025-07-01,2025-07-15,education,high
Clean fan blades and light fixtures,Use ladder and microfiber cloth to wipe.,2025-07-04,2025-07-10,home,low
Schedule monthly goal review session,Reflect on tasks and adjust plan.,2025-07-01,2025-07-07,personal,medium
Buy suitcase for business travel,"Look for cabin-sized, durable option with warranty.",2025-07-02,2025-07-11,travel,medium
Install solar lamp in garden,Set fixture and charge under sunlight.,2025-07-03,2025-07-11,home,medium
Analyze server load times,Use monitoring tool to study peak usage hours.,2025-07-01,2025-07-04,tech,high
Practice mindfulness meditation daily,Set reminder for 10-minute breathing session.,2025-07-01,2025-07-31,health,low
Refactor old CSS into SCSS,Organize stylesheets for maintainability.,2025-07-03,2025-07-09,project,high
Create brochure for school event,Use templates to design trifold format.,2025-07-02,2025-07-06,education,medium
Inspect bike chain before long ride,Oil and adjust tension where needed.,2025-07-03,2025-07-08,personal,low
Test mobile app on iOS devices,Ensure compatibility on different screen resolutions.,2025-07-04,2025-07-12,project,high
Research local nonprofit funding options,"List grant sources, donors, and deadlines.",2025-07-02,2025-07-18,community,medium
Renew domain for blog,Login and make payment via provider.,2025-07-01,2025-07-10,tech,high
Book dermatologist appointment,Check weekend slot and prepare list of symptoms.,2025-07-01,2025-07-05,health,medium
Make a packing checklist for trip,"Include clothes, devices, IDs, toiletries.",2025-07-03,2025-07-07,travel,medium
Fix lighting in study area,Replace bulb and adjust desk lamp.,2025-07-04,2025-07-09,home,low
Set reminders for medication alerts,Configure timings on health tracking app.,2025-07-02,2025-07-04,health,high
Buy kitchen containers for storage,Airtight jars for pulses and grains.,2025-07-01,2025-07-08,home,medium
Write unit tests for login module,Cover all edge cases and errors.,2025-07-03,2025-07-06,tech,high
Create marketing plan for side business,Design content calendar and outreach strategy.,2025-07-01,2025-07-12,career,high
Attend college alumni networking event,RSVP and prepare elevator pitch.,2025-07-02,2025-07-08,education,medium
Repair pedal on stationary exercise bike,Inspect mounting bolt and screws.,2025-07-01,2025-07-07,personal,low
Renew Netflix subscription,Check upcoming charges and re-activate.,2025-07-04,2025-07-05,personal,low
Submit Q3 budget report,Compile and submit the Q3 budget for approval.,2025-07-01,2025-07-10,work,high
Review calculus assignments,Solve and cross-check weekly calculus homework.,2025-07-02,2025-07-09,education,medium
Schedule annual health check-up,Book appointment with clinic for full-body checkup.,2025-07-03,2025-07-20,health,medium
Pay electricity bill online,Settle this month's electricity dues via net banking.,2025-07-04,2025-07-08,finance,high
Plan weekend getaway,Choose location and book hotel for short trip.,2025-07-01,2025-07-12,personal,low
Fix broken kitchen drawer,Call carpenter to fix the broken bottom drawer.,2025-07-05,2025-07-15,home,medium
Update resume and portfolio,Add new projects and update skill section.,2025-07-02,2025-07-10,career,high
Book train tickets to Delhi,Book AC class tickets before the prices increase.,2025-07-04,2025-07-15,travel,medium
Edit vacation vlog video,Add background music and cut extra footage.,2025-07-03,2025-07-20,hobby,low
Update antivirus software,Install latest update on laptop and run scan.,2025-07-01,2025-07-06,tech,medium
Organize community clean-up,Coordinate local volunteers and supplies.,2025-07-06,2025-07-19,community,high
Add tests to backend API,Write unit tests for new API endpoints.,2025-07-05,2025-07-12,project,high
Write research paper draft,Start writing introduction and methodology sections.,2025-07-04,2025-07-25,education,high
Buy groceries for the week,Make list and purchase all kitchen essentials.,2025-07-02,2025-07-03,home,low
Apply for internship,Submit application and resume to top 3 companies.,2025-07-06,2025-07-15,career,high
Go for evening walk daily,Walk 30 minutes in the park for fitness.,2025-07-01,2025-07-31,health,low
Setup monthly budget spreadsheet,Plan July expenses and set saving targets.,2025-07-02,2025-07-08,finance,medium
Fix website footer bug,Resolve layout issue on mobile view.,2025-07-04,2025-07-09,tech,medium
Submit code review feedback,Review peer pull requests and leave comments.,2025-07-01,2025-07-03,work,high
Attend online ReactJS webinar,Join session on new React features and Q&A.,2025-07-05,2025-07-06,tech,low
Plan surprise birthday dinner,Reserve table and buy decorations.,2025-07-03,2025-07-14,personal,medium
Read "Deep Work" book,Read 10 pages daily and summarize.,2025-07-02,2025-07-28,hobby,low
Organize books on shelf,Sort by genre and donate old books.,2025-07-03,2025-07-11,home,low
Backup phone to cloud,Save photos and messages to Google Drive.,2025-07-01,2025-07-07,tech,medium
Write weekly progress update,Send status report to team lead.,2025-07-04,2025-07-05,work,medium
Clean washing machine drum,Run vinegar cycle and scrub inside.,2025-07-06,2025-07-10,home,low
Prepare for coding contest,Solve 5 DSA problems daily.,2025-07-01,2025-07-20,education,high
Start morning meditation habit,Practice mindfulness 10 minutes each morning.,2025-07-03,2025-07-31,health,low
Transfer funds to savings,"Move ₹10,000 to savings account.",2025-07-02,2025-07-05,finance,medium
Design event flyer,Create layout and graphics for open mic night.,2025-07-05,2025-07-13,project,medium
Respond to recruiter email,Confirm availability for screening call.,2025-07-04,2025-07-06,career,high
Upload notes to Google Drive,Scan and upload lecture notes for backup.,2025-07-02,2025-07-09,education,medium
Decorate study desk,"Buy lamp, plant, and organizers.",2025-07-03,2025-07-11,personal,low
Test contact form on site,Ensure emails are received by admin.,2025-07-05,2025-07-08,project,medium
Visit bank for document update,Submit address proof and update KYC.,2025-07-01,2025-07-15,finance,medium
Host monthly team call,Prepare agenda and meeting link.,2025-07-06,2025-07-07,work,medium
Clean balcony and water plants,Sweep floor and hydrate potted plants.,2025-07-03,2025-07-06,home,low
Refactor login component,Make reusable and add error handling.,2025-07-04,2025-07-10,tech,high
Donate old clothes to NGO,Sort and pack unused clothing.,2025-07-02,2025-07-12,community,medium
